"wordform","sum_freq","norm_freq","log_freq","sqrt_freq","bcLambda_0.0","bcLambda_0.1","bcLambda_0.2","bcLambda_0.3","bcLambda_0.4","bcLambda_0.5","bcLambda_0.6","bcLambda_0.7","bcLambda_0.8","bcLambda_0.9","bcLambda_1.0","Moby_pron","Rep_P","Rep_O","sem_1","sem_2","sem_3","sem_4","sem_5","sem_6","sem_7","sem_8","sem_9","sem_10","sem_11","sem_12","sem_13","sem_14","sem_15","sem_16","sem_17","sem_18","sem_19","sem_20","sem_21","sem_22","sem_23","sem_24","sem_25","sem_26","sem_27","sem_28","sem_29","sem_30","sem_31","sem_32","sem_33","sem_34","sem_35","sem_36","sem_37","sem_38","sem_39","sem_40","sem_41","sem_42","sem_43","sem_44","sem_45","sem_46","sem_47","sem_48","sem_49","sem_50","sem_1_ori","sem_2_ori","sem_3_ori","sem_4_ori","sem_5_ori","sem_6_ori","sem_7_ori","sem_8_ori","sem_9_ori","sem_10_ori","sem_11_ori","sem_12_ori","sem_13_ori","sem_14_ori","sem_15_ori","sem_16_ori","sem_17_ori","sem_18_ori","sem_19_ori","sem_20_ori","sem_21_ori","sem_22_ori","sem_23_ori","sem_24_ori","sem_25_ori","sem_26_ori","sem_27_ori","sem_28_ori","sem_29_ori","sem_30_ori","sem_31_ori","sem_32_ori","sem_33_ori","sem_34_ori","sem_35_ori","sem_36_ori","sem_37_ori","sem_38_ori","sem_39_ori","sem_40_ori","sem_41_ori","sem_42_ori","sem_43_ori","sem_44_ori","sem_45_ori","sem_46_ori","sem_47_ori","sem_48_ori","sem_49_ori","sem_50_ori"
"moss",1774,3.942222222,0.146180922,42.11887938,7.480992163,11.12979879,17.32341985,28.11262466,47.33350739,82.23775875,146.6605744,267.2106937,495.4256918,931.7473275,1773,"m/O/s","_/_/m/a/s/_/_/","_/_/m/o/s/s/_/_/",0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,-0.64563,0.63528,-0.24582,0.15838,0.026548,0.61483,-1.7229,-0.66342,0.2646,-0.40959,-0.05204,0.68541,-0.52152,-0.90133,0.79911,0.37226,0.94763,-0.23024,-0.4142,-0.36085,-0.8969,0.34573,0.6356,0.13131,0.0076726,-0.074135,0.90636,0.93122,0.72903,-0.6611,0.80618,-0.63369,0.10782,-0.35053,0.32555,0.54329,-0.40678,0.053712,0.38771,0.05516,0.47421,0.37999,-0.61031,0.19521,-0.18713,-0.19377,0.3615,-0.36844,-0.37275,-0.17914
"most",503484,1118.853333,0.642333021,709.5660646,13.12930721,27.17051406,64.08235579,167.8551118,474.7371882,1417.132129,4394.155897,14003.85581,45549.81675,150501.6949,503483,"m/oU/st","_/_/m/o/s/t/_/","_/_/m/o/s/t/_/_/",1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0.53248,0.030684,-0.12955,-0.15673,0.25168,0.20269,-0.71869,-0.27819,-0.47384,0.49715,-0.12525,-0.249,0.23788,0.11087,0.44788,-0.10767,0.44033,0.16702,-0.34068,-0.5413,-0.56092,-0.12457,0.23586,0.39872,0.13578,-1.4765,-1.1334,-0.23475,0.17915,0.20182,3.9566,0.0092012,0.61391,-0.75382,0.42119,0.092947,-0.2623,0.48914,-0.78757,-0.10654,-0.68392,0.34472,0.4279,0.71161,0.051375,0.33759,-0.72084,0.069335,-0.34333,-0.067937
"mote",141,0.313333333,0.05,11.87434209,4.94875989,6.402948119,8.45283535,11.37774402,15.59787789,21.74868417,30.79570287,44.21244828,64.25663686,94.40017474,140,"m/oU/t","_/_/m/o/t/_/_/","_/_/m/o/t/e/_/_/",1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0.99713,-0.4876,-0.48544,0.58018,0.1605,-0.89277,0.11276,-0.32862,0.79472,-0.39002,0.035274,0.74629,0.56622,-0.44258,-0.71218,-0.00072381,0.065266,0.98067,-1.1046,0.27754,-0.6773,0.41163,0.51795,-1.0243,-0.22962,0.1421,0.032923,0.25315,-0.72232,-0.1462,-1.331,-0.97297,-0.29293,-0.91166,0.12863,0.31842,0.023261,0.061556,1.1517,-0.78269,0.39762,-0.62976,-0.27249,0.62972,1.0661,0.56375,0.27666,-0.21618,-0.049722,0.36491
"moth",1199,2.664444444,0.118813351,34.62657939,7.089243155,10.31804502,15.64114767,24.62585118,40.10569773,67.25315877,115.5907332,202.7806682,361.7990958,654.5731444,1198,"m/O/T/","_/_/m/a/T/_/_/","_/_/m/o/t/h/_/_/",1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1.6314,-0.20105,-1.4895,0.97839,0.98,1.2736,0.0091196,-1.0612,0.92564,-0.6614,0.79429,-0.14231,1.4509,-0.043088,0.66439,0.35001,-1.0032,0.85004,-1.7617,0.12005,-1.6895,-0.81475,0.31087,0.658,0.36729,-0.275,-0.41013,0.92026,0.56208,0.71108,-0.12036,-1.5133,-0.64827,1.4316,-0.1487,-0.87601,-0.51373,-0.17073,-0.76906,-0.047188,0.52305,-0.037531,0.36868,0.076427,0.9701,0.97659,0.098537,-1.3469,-0.2258,-0.43808
"mould",229,0.508888889,0.05,15.13274595,5.433722004,7.218033491,9.823033865,13.68156623,19.4722333,28.2654919,41.75935443,62.66091591,95.3058072,146.6667664,228,"m/oU/ld","_/_/m/o/l/d/_/","_/_/m/o/u/l/d/_/",0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,-0.31035,-0.68788,-0.34696,-0.23099,-0.21204,0.90754,0.14892,-0.082452,-0.20143,-0.044687,0.38024,0.435,-0.025506,0.72058,-0.23579,0.40688,0.82516,-0.09526,0.31973,-0.85695,-0.38212,-0.49551,-0.0066096,-0.22612,0.26803,0.42376,-0.27037,0.1319,0.11894,0.3436,0.30767,-0.86893,-0.13245,-0.077224,-0.77338,0.72289,0.070299,0.36711,0.39926,-0.55021,0.49605,-0.131,-0.81628,0.053068,0.84997,0.23521,0.35129,-0.85563,-0.2214,-0.19634
"mound",3689,8.197777778,0.20300841,60.73713856,8.213110698,12.73478573,20.84352412,35.83646557,64.28877389,119.4742771,228.4743052,447.0462015,890.8980636,1801.804006,3688,"m/AU/nd","_/_/m/A/n/d/_/","_/_/m/o/u/n/d/_/",1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0.25139,0.73953,-0.34346,0.45499,1.2792,-0.46568,-0.86407,1.0203,-0.62814,-0.65504,-0.63317,0.006393,0.2952,0.28503,-0.22012,-0.05404,0.64105,-0.041265,-0.96766,-0.23924,-0.80369,-0.92241,-0.10031,-1.0192,0.60483,-0.29692,0.45432,1.297,1.0349,-0.9808,1.4621,-1.1007,0.44192,0.34819,-0.23385,0.43746,0.23491,0.33364,1.0315,0.60707,-0.44477,-0.77898,-1.187,1.1894,0.33273,-0.26549,0.2762,-0.28553,-0.52198,-0.54434
"mount",13382,29.73777778,0.313391488,115.6805947,9.501665799,15.86140423,28.44061143,54.32141131,109.3274493,229.3611895,496.9437703,1103.837091,2499.825681,5748.340372,13381,"m/AU/nt","_/_/m/A/n/t/_/","_/_/m/o/u/n/t/_/",1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0.94465,2.2485,0.88247,-0.74208,-0.46662,-0.12674,-0.5333,0.18091,0.17432,-0.72799,-0.28653,-0.50105,0.24791,-1.1677,-1.0226,1.377,0.90832,-0.032264,-1.2573,0.32712,-0.40409,-0.05706,-0.60887,-0.20485,0.22246,-1.1717,-0.34151,0.14731,-0.43895,0.029023,1.3201,-0.24038,-0.41616,-1.0029,0.82524,-0.33811,-0.11134,-0.86141,0.17984,-0.012312,-0.19857,-0.0368,-0.26418,-0.48535,0.65533,-0.45778,0.75435,-0.70633,-0.25078,-0.43077
"mourn",1066,2.368888889,0.111119781,32.64965543,6.971668605,10.08055539,15.16143525,23.65685448,38.14834711,63.29931087,107.6038691,186.6468325,329.2076246,588.7353454,1065,"m/oU/rn","_/_/m/o/r/n/_/","_/_/m/o/u/r/n/_/",1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0.30237,0.68989,0.92961,-0.42443,1.2355,-0.72082,0.089377,1.3439,-0.5191,-0.084049,-0.35914,-0.65942,0.11893,0.00077843,0.902,-0.14546,-0.69034,-0.29666,0.24265,-0.025027,-0.3537,0.90825,-0.46558,-0.28579,1.2332,-0.56326,-1.0239,-1.0043,0.11892,-0.26208,0.11835,1.3103,-0.28505,-0.013577,-0.43045,0.035238,0.55489,-1.0856,-0.032936,0.57306,-0.93516,-0.19279,-0.13232,-0.20206,1.2285,0.67742,-1.0067,-0.55517,-0.26223,-0.99372
"mouse",10764,23.92,0.294195314,103.7496988,9.283962512,15.30447719,27.0158283,50.67625313,100.0013262,205.4993976,435.8886478,947.6092979,2100.054373,4725.325207,10763,"m/O/s","_/_/m/A/s/_/_/","_/_/m/o/u/s/e/_/",1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0.92126,-0.81902,0.23245,0.52219,0.51949,0.88641,-0.39156,-1.5406,0.60995,0.22859,0.62091,0.66589,0.72291,0.66718,0.10358,0.5369,-0.14446,0.48026,-0.80902,-0.35139,-0.61242,-0.53007,0.11605,0.48692,0.95751,-0.69058,-0.19449,0.12434,-0.1614,-1.5485,1.5875,-0.083181,-0.60285,-0.045127,-0.28487,0.5245,-0.15309,-0.10653,-0.11039,-0.6564,0.10237,0.61861,-1.0989,0.32814,0.74616,-0.132,1.6579,-1.1101,-0.029862,0.087264
"mousse",780,1.733333333,0.091993195,27.92848009,6.65929392,9.462985553,13.94039033,21.24243623,33.37383859,53.85696018,88.92860074,149.7075183,256.136459,444.1785719,779,"m/u/s","_/_/m/u/s/_/_/","_/_/m/o/u/s/s/e/",1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.60894,0.20992,-1.2757,0.55073,0.31996,1.4137,0.025341,-0.094946,0.082487,0.40786,0.10064,0.61385,1.2057,1.153,0.18898,-0.12026,-0.2231,0.0023302,0.24153,-1.3239,-0.22371,-0.65106,0.9594,-0.33762,-0.51749,0.68417,-0.5929,1.1229,0.74133,-0.27558,-0.08475,-0.10038,-1.1983,1.3663,-0.27995,-0.30553,-0.74679,0.7597,1.4671,-0.13731,0.11681,0.4049,-0.35934,-0.1121,-0.015903,0.47308,0.19224,-0.56629,-0.19291,0.16179
"mouth",42355,94.12222222,0.416742764,205.8033042,10.65384176,19.0195363,37.10667435,78.12774432,174.7972025,409.6066083,993.7194092,2474.483631,6285.609603,16215.93337,42354,"m/AU/T/","_/_/m/A/T/_/_/","_/_/m/o/u/t/h/_/",1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0.5062,-0.30112,-0.75602,-0.67746,-0.314,0.51591,0.056298,0.32996,1.391,-0.11981,-0.022556,0.33975,0.60955,-0.11306,-0.566,0.2896,-0.0041538,-0.13717,-0.72333,-0.044538,-0.39265,-0.050465,1.0368,0.18814,0.63012,-1.6526,-0.25102,1.7135,0.52646,-1.3134,2.348,-0.049676,0.76345,0.44039,-0.88587,0.066858,0.083713,-0.19318,0.92961,-0.23976,0.2993,0.40334,-0.38476,0.3984,0.29258,-0.11351,0.58809,-0.97932,0.098091,-0.47937
